,Industry,Sub Industry,Region,Company size,Annual revenue(USD),Contract value(USD),Contract length(m),Product usage hours(3m),Product usage hours(12m),Login frequency(30d),Active users,Licensed users,Analyst calls(6m),Support tickets(6m),Support escalations(6m),Avg resolution time(hrs),Nps score,Survey response count(12m),Discount,Account notes,Churn flag,Tenure(d),missing_discount,missing_licensed_users,missing_avg_resolution,missing_contract,missing_tenure,missing_support_esc,missing_analyst_calls,missing_product_usage(3m),missing_product_usage(12m),missing_nps_score,missing_contract_length,Utilization ratio,Utilization Bin,Resolution_Time_Bucket,NPS_Category,tenure_bucket
0,Finance,Data,North America,500,96768.07,176756.13,,,542.97,0.33,,,3.0,2,,2.28,75,1,0.1,,0.0,1858,0,1,0,0,0,1,0,1,0,0,1,,,<6h,Promoter (51 to 100),5-10 years
1,Retail,Cloud,North America,10000,32220.62,121681.36,48,120.4,815.85,8.03,3,20,3.0,6,,22.79,41,,,,0.0,,1,0,0,0,1,1,0,0,0,0,0,0.15,"(0.0, 0.2]",12-24h,Passive (1 to 50),
2,Healthcare,,Europe,50,342089.2,102745.79,36,26.95,204.11,,8,5,3.0,2,,68.32,-85,,0.1,renewal likely,0.0,10,0,0,0,0,0,1,0,0,0,0,0,1.6,,48h+,Detractor (-100 to 0),0-3 months
3,Energy,AI,Latam,1000,142690.79,51280.47,36,101.94,833.26,8.35,5,50,,,0.0,48.38,-16,1,,integration problem,0.0,440,1,0,0,0,0,0,1,0,0,0,0,0.1,"(0.0, 0.2]",48h+,Detractor (-100 to 0),12-18 months
4,Finance,,,200,30780.9,,36,116.41,539.6,18.33,7,10,1.0,5,,4.27,-49,1,,bad experince,0.0,1195,1,0,0,1,0,1,0,0,0,0,0,0.7,"(0.6, 0.8]",<6h,Detractor (-100 to 0),3-5 years
5,Saas,None,Europe,50,89233.05,,48,154.47,430.97,3.22,4,100,3.0,7,0.0,93.93,69,1,,,0.0,629,1,0,0,1,0,0,0,0,0,0,0,0.04,"(0.0, 0.2]",48h+,Promoter (51 to 100),18-24 months
6,Healthcare,,,500,9249.05,,36,93.45,480.55,5.64,,20,1.0,3,,,-5,2,0.2,satisfied,0.0,840,0,0,1,1,0,1,0,0,0,0,0,,,,Detractor (-100 to 0),2-3 years
7,Finance,E-commerce,Middle East,200,15298.58,66382.04,36,129.59,283.44,2.9,5,50,1.0,2,0.0,30.19,35,,0.1,,0.0,,0,0,0,0,1,0,0,0,0,0,0,0.1,"(0.0, 0.2]",24-48h,Passive (1 to 50),
8,Healthcare,Payments,Europe,1000,33678.24,127094.81,36,,631.28,32.11,11,20,2.0,6,0.0,28.97,-71,0,0.15,neutral,0.0,7,0,0,0,0,0,0,0,1,0,0,0,0.55,"(0.4, 0.6]",24-48h,Detractor (-100 to 0),0-3 months
9,Energy,Cloud,Latam,10000,238375.6,100841.47,12,24.5,525.39,2.72,6,5,1.0,3,,47.0,28,2,0.2,bad experince,0.0,324,0,0,0,0,0,1,0,0,0,0,0,1.2,,24-48h,Passive (1 to 50),6-12 months
10,Retail,,Europe,1000,69365.21,57301.94,,92.65,684.33,1.85,5,100,2.0,4,0.0,117.01,35,1,0.05,bad experince,0.0,799,0,0,0,0,0,0,0,0,0,0,1,0.05,"(0.0, 0.2]",,Passive (1 to 50),2-3 years
