client_id,industry,region,sub_industry,revenue,tenure_months,employee_count,account_tier,monthly_logins_3m,monthly_logins_12m,downloads_3m,downloads_12m,inquiries_3m,inquiries_12m,webinar_attendance_12m,analyst_calls_12m,portal_time_spent_3m,portal_time_spent_12m,report_views_3m,report_views_12m,benchmarking_participation,active_users_count,feature_adoption_score,tickets_raised_12m,avg_ticket_resolution_time,ticket_satisfaction_score,escalations_12m,onboarding_score,renewal_meetings_attended,nps_score,satisfaction_score,relationship_strength,decision_maker_engagement,churn_flag
C0,Retail,NA,SubIndustry_21,717.0377832,130,27977,Silver,23,32,29,12,2,5,2,,32.93192135,772.4022266,0,5,1,35,77.09870782,7,39.14423289,5,1,0.065028068,20,-42,2,1,0,0
C1,Pharma,NA,SubIndustry_1,423.0835113,46,18430,Gold,33,39,33,30,2,3,3,2,37.78244917,559.4699559,0,10,N,27,76.81498882,,54.92693402,4,0,0.965278899,20,20,1,4,2,0
C2,Manufacturing,,SubIndustry_3,323.7717382,1,28300,Silver,12,34,12,14,0,,0,1,142.7418612,,2,7,N,19,40.47379625,7,43.08858191,,0,,10,-86,4,,,1
C3,Retail,EMEA,SubIndustry_12,298.8574039,70,44498,Gold,18,12,,5,0,5,2,3,,467.8108382,1,6,no,25,78.36733078,1,,3,0,0.06067891,3,20,,2,0,0
C4,BFSI,EMEA,SubIndustry_12,287.1007158,66,47300,Gold,1,17,4,,0,2,3,3,156.5322881,348.5328195,0,4,Y,37,7.422809644,3,62.54928413,4,,,0,-70,9,2,0,1
C5,BFSI,,SubIndustry_22,631.8136058,,37706,Gold,2,25,20,1,1,5,2,,68.97194071,597.4710591,1,,N,12,36.15039418,2,83.38347076,3,0,,1,28,8,2,2,1
C6,BFSI,NA,SubIndustry_26,351.4508858,69,23570,Gold,42,21,,44,0,6,1,,103.3864283,652.3643615,0,6,N,43,38.26279742,1,42.69235688,3,0,0.484376414,1,23,8,2,,0
C7,Technology,EMEA,,293.394231,13,11274,Gold,25,7,16,27,1,4,1,3,141.7739931,539.3313384,3,8,,33,23.54863286,3,48.04315934,2,0,0.846828755,10,61,9,,0,0
C8,Manufacturing,APAC,,642.7470439,147,17928,Gold,30,,23,13,1,2,3,3,,355.1005398,0,3,1,13,,2,62.8643039,3,0,0.785484393,5,4,,1,0,0
,,APAC,SubIndustry_26,565.5940781,83,25698,,25,19,2,25,0,5,3,2,165.1206179,590.793022,0,5,1,22,,2,35.629963,1,0,0.514705427,3,-28,7,3,1,0
C10,BFSI,APAC,SubIndustry_22,692.5183966,,12354,Silver,21,6,34,10,0,2,0,1,131.23483,51.16491377,1,5,no,24,46.43015175,3,,4,0,0.175559763,2,,5,3,2,0
