client_id,industry,sub_industry,region,company_size,annual_revenue_usd,contract_value_usd,contract_length_months,tenure_months,product_usage_hours_3m,product_usage_hours_12m,login_frequency_30d,active_users,licensed_users,analyst_calls_6m,support_tickets_6m,support_escalations_6m,avg_resolution_time_hrs,nps_score,survey_response_count_12m,discount_percent,account_notes,churn_flag
C0,Finanace,Data,North America,500+,96768.06766,176756.1258,,61.93702345,,542.9747378,0.331612548,,,3,2,,2.281904464,75,1,10,,0
C1,Retail,Cloud,N. America,10k,32220.61731,121681.3577,48,,120.3959851,815.8524926,8.033755479,3,20,3,6,,22.78915312,41,,,,0
C2,Heathcare,None,Europe,50,342089.195,102745.7854,36 mnth,0.345164306,26.94769624,204.1104552,,8,5,3,2,,68.3227879,-85,,10%,renewal likely,0
C3,Energy,AI,LATAM,1k,142690.7861,51280.47079,36,14.65406287,101.9395209,833.264978,8.353787667,5,50,,,0,48.38216724,-16,1,,integration problem,0
C4,Finanace,None,,200,30780.90421,,36 mnth,39.82164796,116.4077245,539.5961755,18.33351384,7,10,1,5,,4.268591377,-49,1,,bad experince,0
C5,SaaS,none,EUrope,50,89233.05293,,48,20.96397655,154.4698001,430.9662322,3.22032581,4,100,3,7,0,93.93108667,69,1,,,0
C6,Healthcare,,,500,9249.0482,,36,27.99282495,93.45247985,480.553887,5.636539605,,20,1,3,,,-5,2,20%,satisfied,0
C7,Finanace,E-commerce,Middle East,200,15298.58011,66382.03572,36,,129.5906659,283.4376901,2.898260338,5,50,1,2,0,30.18606061,35,,10%,,0
C8,Heathcare,Payments,Europe,1000,33678.24041,127094.8104,36 mnth,0.233856768,,631.276784,32.11047295,11,20,2,6,0,28.96587904,-71,0,15,neutral,0
,Energy, cloud ,LATAM,10k,238375.6028,100841.4686,12,10.80656222,24.49772088,525.3944824,2.719925218,6,5,1,3,,46.99947229,28,2,20,bad experince,0
C10,Retail,,EUrope,1000,69365.21434,57301.93858,,26.62776744,92.65329005,684.3314955,1.853021747,5,100,2,4,0,117.0119033,35,1,5,bad experince,0
C11,Heathcare,Cybersecurity,Middle East,1k,54244.15511,91384.66278,,21.07908626,252.5336447,512.1910057,8.692713766,7,20,1,4,1,38.36533699,87,0,N/A,,0
C12,Heathcare,,LATAM,50,25563.28236,,12,,,450.1557375,12.84532877,6,5,1,5,0,,-62,2,15,renewal likely,0
C13,Healthcare,,APAC,10000,68579.30789,,24,11.81380096,202.6722486,609.7629976,21.22704639,4,,2,0,0,109.3488596,13,,,renewal likely,0
C14,Manufacturing,,Europe,10k,128306.7272,88406.01904,,69.91498487,106.5989474,711.4929389,10.33022354,4,50,1,7,,,88,0,0,,0
C15,Energy,cybersecurity,EUrope,,16254.31123,96795.84306,,24.06546427,193.4401433,,7.659989333,7,,3,2,0,44.59133503,97,1,10%, integration problem,0
C16,Finance,Data,Middle East,,138091.9074,85523.00426,12 months,9.803398321,94.25875565,407.8504261,20.71178728,,100,3,1,,60.84481664,-72,2,15,executive sponsor left,0
C17,,Data,Europe,10k,,78723.25928,48,,119.9452497,320.4991652,8.694565374,10,,,4,1,33.26470737,-30,2,5,,0
C18,Manufacturing,Payments,Middle East,200,2050665.512,112171.708,36,34.895721,43.50212342,320.9749116,21.76904336,,5,4,2,1,,-34,1,5,bad experince,0
C19,finance,,Middle East,,199460.6945,,12,31.12901504,,422.1509293,12.59349964,4,,1,2,,18.66908302,-85,0,N/A,,0
,Energy,,EUrope,10k,38132.18287,52409.93532,,129.3632554,-13.26836898,317.3134191,13.01153401,4,,1,2,,64.54563873,-24,0,15,,0
C21,Technology,Cloud,,10000,186007.2431,109135.7,36,10.50304589,141.7951746,610.8961644,6.679097285,6,10,1,3,0,41.24016418,-53,,,,0
C22,SaaS,Payments,Europe,,38341.54814,88411.82478,12,8.181005059,53.5091166,649.5414142,4.167889865,13,,,2,2,,97,2,0,,0
C23,manufacturing,Data,Europe,50,35281.43959,,36,3.084977326,117.1275535,486.8368558,,11,5,1,2,1,12.79240813,-39,,10,executive sponsor left,0
C24,TECH,Cybersecurity,LATAM,10000,34475.15503,110057.9985,24,,137.0604711,566.203508,1.839313375,6,,0,2,0,37.88876549,84,1,,executive sponsor left,0
C25,Technology,Payments,Middle East,10000,4681.209926,,12,8.615460043,,769.3947645,8.781063119,5,10,4,0,0,22.56778526,-86,2,20%,integration problem,0
C26,SaaS,E-commerce,N/A,50,81719.01361,78660.79816,12,,135.1753238,710.8826157,3.511835227,2,,,,0,42.28050617,,,15,bad experince,0
C27,,,North America,10k,8761.756486,,36,17.24215964,134.8000072,509.3070653,0.333987402,3,10,2,2,0,23.02825198,-5,1,0,,0
C28,Finanace,,Middle East,500,66090.5334,57938.58355,12,,132.5804083,664.8324518,6.001059573,9,20,3,1,,71.24455544,55,0,20%,executive sponsor left,0
C29,,,N. America,200,17421.05604,109221.3482,12,47.54720609,153.055149,566.993298,13.37367806,4,50,1,1,,6.896130075,-22,2,10,,0
C30,TECH,Payments,,500+,21317.40189,,36 mnth,22.98260845,-25.5046563,349.7792749,8.166066211,7,,1,5,0,41.24913728,78,1,,renewal likely,0
C31,N/A,Infra,n. america,,258665.636,,36 mnth,15.14894175,,456.9002865,13.09345538,13,,1,3,,50.88153676,-66,2,,bad experince,0
C32,N/A,Cybersecurity,,1k,222591.7396,139731.2965,12 months,0.370434193,116.7494594,550.7881274,11.25233891,2,50,3,1,0,58.96282679,-47,2,15, integration problem ,0
C33,Healthcare,,,,3122.979397,-8574.889432,48,25.36855741,44.82382173,458.9901934,3.262060991,6,50,0,2,1,,24,1,10%,,0
C34,finanace,Infra,N. America,10k,426011.1668,110909.2216,36 mnth,14.17529163,,358.5072101,2.337453823,7,50,2,4,0,55.71241638,-80,1,15,,0
C35,Energy,Cybersecurity,Europe,,15487.15895,,12 months,3.944138471,106.0442821,778.2456213,0.141112022,2,,2,4,,49.25305508,-49,2,10,,0
C36,TECH,AI,EUrope,,72513.76431,153240.7554,24,68.42602348,25.90503935,647.5277319,5.995658627,2,100,,3,0,,-100,1,10,integration problem,0
,Finanace, ai,N. America,50,609071.6743,,48,18.40593845,,715.9867664,4.074906537,8,10,1,4,,36.54870261,,4,,,0
C38,Finance,Infra,,500,30669.2586,,48,33.87723439,220.7089577,803.1770915,10.63089846,5,10,5,3,0,13.10272006,82,2,20,neutral,0
C39,Retail,AI,EUrope,1k,42243.21989,,,104.2454819,35.34985146,587.7477585,28.42604151,7,10,1,5,1,73.41361252,62,3,10%,satisfied,0
C40,TECH,None,APAC,1k,941062.3316,,36 mnth,45.54684048,89.21628077,,9.263497323,5,,3,6,1,14.63761717,59,1,20,,0
C41,Finance,Infra,,10000,16254.69405,142472.3162,,72.64351339,199.7382208,416.5091362,,4,50,0,0,1,37.04771056,,2,15,low usage,0
C42,SaaS,Cloud,EUrope,,25522.75105,17964.10388,24,35.37747545,,513.7132148,9.109430992,7,10,2,7,2,48.33905975,79,1,,bad experince,0
,TECH,N/A,APAC,1000,124455.6999,108262.4375,12 months,42.64150481,82.96784858,419.6928743,6.670958468,,,1,1,,60.28237078,-58,1,20%,neutral,0
C44,SaaS,,LATAM,500+,95777.43024,147584.5098,24,1.674091629,54.91592979,251.0681708,0.224286648,10,20,1,3,0,57.87524375,-65,1,0,needs training,0
C45,Energy,None,Middle East,,21573.96128,158095.2447,48,,164.7636833,227.0166964,7.024804398,9,50,,9,1,67.24995641,-7,0,,satisfied,0
C46,Finance,E-commerce,Europe,10k,333423.1458,147594.6604,36 mnth,35.91004961,30.7296845,655.8578941,5.666038915,8,5,0,2,0,55.08511577,,0,,,0
C47,,Cloud,N. America,200,37404.30162,56251.58224,,32.4835486,69.25508032,435.2559083,29.71717834,,20,0,3,1,37.76889139,,3,10, executive sponsor left,0
C48,Finanace,None,LATAM,10000,20239.37998,167861.9806,36,,,325.4397827,4.174011048,3,,0,,0,49.58819576,56,0,15,executive sponsor left,0
,,Cloud,LATAM,50,76227.71312,,24,62.09489548,137.6190044,,7.593905388,8,5,0,1,0,,79,1,, executive sponsor left ,0
C50,Healthcare,,North America,10000,6106.093351,34054.60766,36 mnth,21.98582549,143.7169213,,1.866294748,7,10,0,1,1,54.20949422,,1,,bad experince,0
