iter	Logloss
0	0.6850046466
1	0.6729851362
2	0.6638094009
3	0.6523499532
4	0.6450020225
5	0.6379412221
6	0.6308925439
7	0.6242016475
8	0.6171973693
9	0.6088636292
10	0.5982220439
11	0.5919247864
12	0.584445166
13	0.5790642204
14	0.5729800948
15	0.5666352703
16	0.5600167801
17	0.5537748851
18	0.5486178312
19	0.5420369364
20	0.5375733543
21	0.5329122601
22	0.5268964966
23	0.5217206195
24	0.5140621853
25	0.5095486455
26	0.5036699461
27	0.4991193486
28	0.4919383342
29	0.4875369896
30	0.482826414
31	0.4767708824
32	0.4708102661
33	0.4654934602
34	0.4616380055
35	0.458008006
36	0.4531499569
37	0.4503244365
38	0.4461340682
39	0.4404500513
40	0.4356963147
41	0.4299273083
42	0.4259517729
43	0.4231729197
44	0.4207859362
45	0.4170741168
46	0.4148052563
47	0.4090621485
48	0.4049257874
49	0.4020843915
50	0.3995485721
51	0.3976992747
52	0.3953979197
53	0.3932786413
54	0.3906370616
55	0.3889016922
56	0.385706181
57	0.3813177105
58	0.3787217951
59	0.3762312653
60	0.3743342538
61	0.3725273301
62	0.3694644221
63	0.3665546492
64	0.363714777
65	0.3609273284
66	0.3570346
67	0.3522253941
68	0.3505642095
69	0.348107467
70	0.3454669988
71	0.3439746903
72	0.3430118401
73	0.3405982908
74	0.3395258867
75	0.3383797786
76	0.336144998
77	0.3348795854
78	0.3323898748
79	0.331253141
80	0.3294329685
81	0.3276795804
82	0.3254664966
83	0.3246773894
84	0.3226944392
85	0.3212042296
86	0.3195561722
87	0.318829726
88	0.3176968923
89	0.3167386099
90	0.3157725576
91	0.3142686477
92	0.3131420532
93	0.3108412757
94	0.3080867488
95	0.3074716289
96	0.3067846748
97	0.3054054484
98	0.3043220357
99	0.3029577492
100	0.3022406121
101	0.3012071226
102	0.3000095773
103	0.29951783
104	0.2988416705
105	0.2982440762
106	0.29755093
107	0.2964428052
108	0.2958110301
109	0.2951772229
110	0.2943235172
111	0.2935424516
112	0.2926152151
113	0.2922113722
114	0.2916712866
115	0.2911291758
116	0.2905478723
117	0.2901631689
118	0.2893643891
119	0.2887597877
120	0.287908077
121	0.2871565293
122	0.2861679465
123	0.285013219
124	0.2834503987
125	0.2831824007
126	0.2819723431
127	0.2809538519
128	0.2803486396
129	0.2798261383
130	0.2793155173
131	0.2784752743
132	0.277956057
133	0.2775153677
134	0.276726656
135	0.2761177833
136	0.2755378932
137	0.2749214163
138	0.2746124013
139	0.2742299603
140	0.2738415146
141	0.2732352893
142	0.2728055621
143	0.2720369918
144	0.271077222
145	0.2705739132
146	0.2699089862
147	0.2693774202
148	0.2689974744
149	0.2684990762
150	0.2680945355
151	0.2674778862
152	0.2659881115
153	0.2657482681
154	0.2652512672
155	0.2641016865
156	0.2639210528
157	0.2637388816
158	0.2635243058
159	0.2621927086
160	0.2616808404
161	0.2614692519
162	0.2601868407
163	0.2598123951
164	0.2594644082
165	0.2592138978
166	0.2589863379
167	0.2584619758
168	0.2583565605
169	0.2581639676
170	0.2577102711
171	0.2572882173
172	0.257203204
173	0.2569065931
174	0.2566952962
175	0.2563726298
176	0.2561575914
177	0.2559054367
178	0.2556324221
179	0.2552230852
180	0.2548574538
181	0.2546111052
182	0.254505566
183	0.2541779954
184	0.2539071331
185	0.2537494962
186	0.2534242514
187	0.2531801523
188	0.2530561938
189	0.2529928561
190	0.2527377094
191	0.252653931
192	0.2522954336
193	0.2521107308
194	0.2519233805
195	0.2517191225
196	0.251356068
197	0.2512513353
198	0.2510043286
199	0.2508121208
