iter	Passed	Remaining
0	11	2245
1	22	2195
2	33	2182
3	44	2167
4	55	2176
5	67	2179
6	78	2171
7	89	2141
8	99	2122
9	111	2116
10	123	2129
11	136	2138
12	147	2122
13	159	2117
14	171	2112
15	181	2090
16	193	2079
17	203	2061
18	215	2053
19	228	2054
20	241	2058
21	260	2107
22	272	2098
23	283	2079
24	294	2060
25	306	2048
26	317	2037
27	327	2008
28	339	2003
29	351	1991
30	361	1971
31	373	1962
32	385	1950
33	397	1940
34	409	1930
35	421	1919
36	433	1908
37	443	1888
38	454	1876
39	466	1866
40	478	1854
41	488	1838
42	500	1826
43	512	1815
44	523	1803
45	536	1794
46	547	1782
47	559	1771
48	571	1761
49	583	1751
50	595	1739
51	605	1722
52	618	1714
53	631	1708
54	646	1705
55	660	1697
56	672	1687
57	685	1679
58	699	1671
59	715	1670
60	729	1662
61	742	1653
62	755	1643
63	768	1633
64	782	1624
65	794	1612
66	807	1603
67	821	1594
68	833	1582
69	846	1572
70	858	1559
71	869	1545
72	881	1533
73	893	1522
74	906	1510
75	917	1497
76	930	1486
77	941	1473
78	953	1460
79	964	1446
80	975	1433
81	986	1419
82	996	1405
83	1007	1391
84	1019	1378
85	1031	1366
86	1043	1354
87	1054	1341
88	1062	1325
89	1073	1311
90	1082	1297
91	1093	1284
92	1104	1270
93	1114	1256
94	1125	1243
95	1135	1229
96	1145	1216
97	1155	1202
98	1165	1189
99	1175	1175
100	1187	1163
101	1197	1150
102	1209	1139
103	1222	1128
104	1235	1118
105	1246	1105
106	1257	1092
107	1267	1079
108	1278	1067
109	1290	1055
110	1300	1042
111	1311	1030
112	1323	1018
113	1334	1006
114	1345	994
115	1355	981
116	1365	968
117	1375	955
118	1386	943
119	1397	931
120	1408	919
121	1419	907
122	1431	896
123	1442	884
124	1454	872
125	1465	860
126	1476	848
127	1486	836
128	1496	823
129	1507	811
130	1518	799
131	1529	787
132	1539	775
133	1550	763
134	1561	751
135	1571	739
136	1582	727
137	1592	715
138	1602	703
139	1612	691
140	1622	678
141	1633	667
142	1644	655
143	1654	643
144	1665	631
145	1676	619
146	1685	607
147	1696	596
148	1707	584
149	1718	572
150	1729	561
151	1740	549
152	1750	537
153	1761	526
154	1773	514
155	1784	503
156	1794	491
157	1806	480
158	1817	468
159	1829	457
160	1840	445
161	1850	434
162	1861	422
163	1873	411
164	1883	399
165	1895	388
166	1905	376
167	1916	365
168	1927	353
169	1938	342
170	1949	330
171	1960	319
172	1970	307
173	1981	296
174	1991	284
175	2002	273
176	2012	261
177	2024	250
178	2037	239
179	2047	227
180	2057	216
181	2067	204
182	2077	192
183	2087	181
184	2097	170
185	2107	158
186	2118	147
187	2127	135
188	2137	124
189	2146	112
190	2157	101
191	2166	90
192	2177	78
193	2186	67
194	2196	56
195	2206	45
196	2216	33
197	2224	22
198	2235	11
199	2245	0
